Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Composite Components (JSON-encoded)","Composite Scenarios (JSON-encoded)","Composite Contents Virtual","Composite Aggregate Weight","Composite Layout","Composite Cart Editing","Composite Sold Individually","Composite Catalog Price","Composite Form Location","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 ID","Download 1 name","Download 1 URL","Download 2 ID","Download 2 name","Download 2 URL"
simple,woo-hoodie-with-pocket,449947498039,"Hoodie with Pocket",1,1,hidden,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,35.0,45.0,"Clothing > Hoodies","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-gray.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Gray,0,0,,,,,,,,,,,,
simple,woo-hoodie-with-zipper,435865101816,"Hoodie with Zipper",1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45.0,"Clothing > Hoodies","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/zipper-hoodie-blue.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,,,,,,,
simple,woo-long-sleeve-tee,624745205709,"Long Sleeve Tee",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,25.0,"Clothing > Tshirts","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/long-sleeve-green.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Green,0,0,,,,,,,,,,,,
simple,woo-polo,847899947603,Polo,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20.0,"Clothing > Tshirts","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/polo-blue.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Blue,0,0,,,,,,,,,,,,
"simple, downloadable, virtual",woo-single,,Single,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,2.0,3.0,Music,"Downloadable, Good Sample Data, Sample Data, Simple, Virtual",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/album.jpg,1,1,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,,02412f05-7560-439a-b422-d3c15d03fc6f,Single,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,,,
simple,woo-sunglasses,147316269218,Sunglasses,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90.0,"Clothing > Accessories","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/sunglasses.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,,,,,,,
simple,Woo-tshirt-logo,712988571050,"T-Shirt with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18.0,"Clothing > Tshirts","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-t-shirt.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Gray,0,0,,,,,,,,,,,,
external,wp-pennant,,"WordPress Pennant",1,0,visible,"This is an external product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,11.05,Decor,"External/Affiliate, Good Sample Data, Sample Data",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/pennant.jpg,,,,,,,https://mercantile.wordpress.org/product/wordpress-pennant/,"Buy on the WordPress swag store!",0,WooCommerce,,,,,,,,,,,,,,,,,,,,,,,,,
variation,,872037945759,"Beanie - Yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-yellow.jpg,,,woo-beanie,,,,,,3,,,,,,,,,,,Color,Yellow,,0,,,,,,,,,,,,
variation,,857900405452,"Beanie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,18.0,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-red.jpg,,,woo-beanie,,,,,,1,,,,,,,,,,,Color,Red,,0,,,,,,,,,,,,
variation,,910875859232,"Beanie - Blue",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-blue.jpg,,,woo-beanie,,,,,,5,,,,,,,,,,,Color,Blue,,0,,,,,,,,,,,,
variation,,209850200917,"Beanie - Green",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-green.jpg,,,woo-beanie,,,,,,4,,,,,,,,,,,Color,Green,,0,,,,,,,,,,,,
variation,,248923402997,"Beanie - Orange",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-orange.jpg,,,woo-beanie,,,,,,2,,,,,,,,,,,Color,Orange,,0,,,,,,,,,,,,
variation,,392355816300,"Beanie - Purple",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-purple.jpg,,,woo-beanie,,,,,,6,,,,,,,,,,,Color,Purple,,0,,,,,,,,,,,,
variation,woo-hoodie-green,266326188211,"Hoodie - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg,,,woo-hoodie,,,,,,2,,,,,,,,,,,Color,Green,,0,,Logo,No,,0,,,,,,,
variation,woo-hoodie-red,242089207418,"Hoodie - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,42.0,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg,,,woo-hoodie,,,,,,1,,,,,,,,,,,Color,Red,,0,,Logo,No,,0,,,,,,,
variation,woo-hoodie-blue,567197101485,"Hoodie - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg,,,woo-hoodie,,,,,,3,,,,,,,,,,,Color,Blue,,0,,Logo,No,,0,,,,,,,
variation,woo-hoodie-blue-logo,480058881649,"Hoodie - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg,,,woo-hoodie,,,,,,4,,,,,,,,,,,Color,Blue,,0,,Logo,Yes,,0,,,,,,,
variation,woo-vneck-tee-blue,172954792631,"V-Neck T-Shirt - Blue",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,15.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/vneck-tee-red.jpg,,,woo-vneck-tee,,,,,,1,,,,,,,,,,,Color,Blue,,0,,Size,,,0,,,,,,,
variation,woo-vneck-tee-green,761983916772,"V-Neck T-Shirt - Green",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/vnech-tee-green.jpg,,,woo-vneck-tee,,,,,,2,,,,,,,,,,,Color,Green,,0,,Size,,,0,,,,,,,
variation,woo-vneck-tee-red,784938058173,"V-Neck T-Shirt - Red",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,20.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/vnech-tee-blue.jpg,,,woo-vneck-tee,,,,,,3,,,,,,,,,,,Color,Red,,0,,Size,,,0,,,,,,,
