Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Composite Components (JSON-encoded)","Composite Scenarios (JSON-encoded)","Composite Contents Virtual","Composite Aggregate Weight","Composite Layout","Composite Cart Editing","Composite Sold Individually","Composite Catalog Price","Composite Form Location","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 1 default","Attribute 2 default"
variable,woo-hoodie-novars,,"Hoodie (no variations)",1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,0,,,0,0,,,,,1,,,,"Clothing > Hoodies","Bad Sample Data, Sample Data, Variable",,"https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg",,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,Logo,"Yes, No",0,0,Red,No
simple,woo-tshirt-nobrand,322688479597,"T-Shirt (No Brand)",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18.0,"Clothing > Tshirts","Bad Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/t-shirt-gray.jpg,,,,,,,,,0,,,,,,,,,,,Color,Gray,0,0,,,,,,
simple,woo-tshirt-noupc,,"T-Shirt (No UPC)",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18.0,"Clothing > Tshirts","Bad Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/t-shirt-gray.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Gray,0,0,,,,,,
variation,woo-hoodie-red-nogalimg,367943042077,"Hoodie (No Gallery Image) - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,42.0,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg,,,woo-hoodie-noimg,,,,,,2,,,,,,,,,,,Color,Red,,0,Logo,No,,0,,
variation,woo-hoodie-green-nogalimg,445489832217,"Hoodie (No Gallery Image) - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg,,,woo-hoodie-noimg,,,,,,3,,,,,,,,,,,Color,Green,,0,Logo,No,,0,,
variation,woo-hoodie-blue-nogalimg,985811051463,"Hoodie (No Gallery Image) - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg,,,woo-hoodie-noimg,,,,,,4,,,,,,,,,,,Color,Blue,,0,Logo,No,,0,,
variation,woo-hoodie-blue-logo-nogalimg,500496142084,"Hoodie (No Gallery Image) - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg,,,woo-hoodie-noimg,,,,,,1,,,,,,,,,,,Color,Blue,,0,Logo,Yes,,0,,
variation,woo-hoodie-blue-logo-noimg,875451405885,"Hoodie (No Variation Image) - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,,,,woo-hoodie-novarimg,,,,,,1,,,,,,,,,,,Color,Blue,,0,Logo,Yes,,0,,
variation,woo-hoodie-red-noimg,516884685662,"Hoodie (No Variation Image) - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,42.0,45.0,,,,,,,woo-hoodie-novarimg,,,,,,2,,,,,,,,,,,Color,Red,,0,Logo,No,,0,,
variation,woo-hoodie-green-noimg,350782487282,"Hoodie (No Variation Image) - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,,,,woo-hoodie-novarimg,,,,,,3,,,,,,,,,,,Color,Green,,0,Logo,No,,0,,
variation,woo-hoodie-blue-noimg,929310853248,"Hoodie (No Variation Image) - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,,,,woo-hoodie-novarimg,,,,,,4,,,,,,,,,,,Color,Blue,,0,Logo,No,,0,,
variation,woo-hoodie-blue-logo-noimgs,562460680640,"Hoodie (No Images) - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,,,,woo-hoodie-noimgs,,,,,,1,,,,,,,,,,,Color,Blue,,0,Logo,Yes,,0,,
variation,woo-hoodie-red-noimgs,494073369399,"Hoodie (No Images) - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,42.0,45.0,,,,,,,woo-hoodie-noimgs,,,,,,2,,,,,,,,,,,Color,Red,,0,Logo,No,,0,,
variation,woo-hoodie-green-noimgs,211645470770,"Hoodie (No Images) - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,,,,woo-hoodie-noimgs,,,,,,3,,,,,,,,,,,Color,Green,,0,Logo,No,,0,,
variation,woo-hoodie-blue-noimgs,949184394678,"Hoodie (No Images) - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,45.0,,,,,,,woo-hoodie-noimgs,,,,,,4,,,,,,,,,,,Color,Blue,,0,Logo,No,,0,,
variation,woo-hoodie-green-no-price,892661034927,"Hoodie (No Price Variations) - Green, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg,,,woo-hoodie-price-issues,,,,,,3,,,,,,,,,,,Color,Green,,0,Logo,No,,0,,
variation,woo-hoodie-blue-no-price,117460648797,"Hoodie (No Price Variations) - Blue, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg,,,woo-hoodie-price-issues,,,,,,4,,,,,,,,,,,Color,Blue,,0,Logo,No,,0,,
variation,woo-hoodie-blue-logo-dup,311859456479,"Hoodie (No Price Variations) - Blue, Yes",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg,,,woo-hoodie-price-issues,,,,,,1,,,,,,,,,,,Color,Blue,,0,Logo,Yes,,0,,
variation,woo-hoodie-red-onsale,886621256091,"Hoodie (No Price Variations) - Red, No",1,0,visible,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg,,,woo-hoodie-price-issues,,,,,,2,,,,,,,,,,,Color,Red,,0,Logo,No,,0,,
